Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Devil Summoner - Soul Hackers v1.002 (1997)(Atlus)(JP)(Disc 2 of 2)[!],DEVIL SUMMONER SOUL HACKERS,T-14420G,V1.002,SEGA SEGASATURN,SEGA TP T-144,19971015,CD-2/2,J,J
Die Hard Arcade v1.001 (1996)(Sega)(US)[!],DIE HARD ARCADE,MK-81057,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19961101,CD-1/1,J,U
Die Hard Arcade v1.002 (1997)(Sega)(PAL)[!],DIE HARD ARCADE,MK-81057,V1.002,SEGA SEGASATURN,SEGA ENTERPRISES,19961113,CD-1/1,J,E
Die Hard Trilogy v1.000 (1996)(Fox)(PAL)(M6)[!],Die Hard Trilogy,T-16103H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19961219,CD-1/1,JGMSAE,EAL
Die Hard Trilogy v1.000 (1996)(Fox)(US)[!],Die Hard Trilogy,T-16103H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19961121,CD-1/1,JGMSA,TUK
Digital Pinball - Last Gladiators v1.002 (1995)(Kaze)(JP)[!],LAST GLADIATORS,T-18901G,V1.002,SEGA SEGASATURN,SEGA TP T-189,19950428,CD-1/1,JM,JT
Digital Pinball v1.004 (1995)(Sega)(PAL)[!][MK-81680P-426 9-95 7SB4],DIGITAL PINBALL,MK-81680,V1.004,SEGA SEGASATURN,SEGA ENTERPRISES,19950724,CD-1/1,JM,E
Discworld II - Missing Presumed...! v1.007 (1997)(Sega)(PAL)(M5)[!],DISCWORLD 2,MK-81093,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19970710,CD-1/1,J,E
DonPachi v1.400 (1996)(Atlus)(JP)[!],DONPACHI-SS,T-14405G,V1.400,SEGA SEGASATURN,SEGA TP T-144,19960321,CD-1/1,J,J
Doom v1.004 (1996)(GT Interactive)(PAL)[!],DOOM,T-25406H50,V1.004,SEGA SEGASATURN,SEGA TP T-254,19961120,CD-1/1,JAMT,E
Double Switch v1.000 (1995)(Digital Pictures)(US)(Disc 1 of 2)[!],Double Switch SATURN,T-16207H,V1.000,SEGA SEGASATURN,SEGA TP T-162,19951026,CD-1/2,J,U
Double Switch v1.000 (1995)(Digital Pictures)(US)(Disc 2 of 2)[!],Double Switch SATURN,T-16207H,V1.000,SEGA SEGASATURN,SEGA TP T-162,19951026,CD-2/2,J,U
"Doukyuusei - if v1.001 (1996)(NEC InterChannel)(JP)[!][T-20102GP-00945 2M2, 2MM1]",DOUKYUUSEI IF,T-20102G,V1.001,SEGA SEGASATURN,SEGA TP T-201,19960702,CD-1/1,JM,J
"Doukyuusei - if v1.001 (1996)(NEC InterChannel)(JP)[!][T-20102GP-00945 3M2, 3MB2]",DOUKYUUSEI IF,T-20102G,V1.001,SEGA SEGASATURN,SEGA TP T-201,19960702,CD-1/1,JM,J
Dragon Force II - Kami Sarishi Daichi ni v1.006 (1998)(Sega)(JP)[tr en Verve Fanworks][v1.04],DRAGON FORCE 2,GS-9184,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19980309,CD-1/1,J,UE
Dragon Force v1.100 (1997)(Sega)(PAL)[!],DRAGON FORCE,MK-8138250,V1.100,SEGA SEGASATURN,SEGA ENTERPRISES,19970626,CD-1/1,J,E
DragonBall Z - Idainaru Dragon Ball Densetsu v1.007 (1996)(Bandai)(JP)[!],DRAGON BALL Z IDAINARUDBDENSETU,T-13305G,V1.007,SEGA SEGASATURN,SEGA TP T-133,19960531,CD-1/1,J,J
DragonBall Z - The Legend v1.000 (1996)(Bandai)(PAL)(ES-FR)(fr)[!],DRAGON BALL Z LA GRANDE LEGENDE DES BOULES DE CRISTAL,T-13301H,V1.000,SEGA SEGASATURN,SEGA TP T-133,19961108,CD-1/1,J,E
Duke Nukem 3D v1.014 (1997)(Sega)(PAL)[!],DUKE NUK'EM,MK-81071,V1.014,SEGA SEGASATURN,SEGA ENTERPRISES,19970925,CD-1/1,EATJ,E
DX Jinsei Game - The Game of Life v1.005 (1996)(Takara)(JP)[!],DX JINSEI GAME,T-10302G,V1.005,SEGA SEGASATURN,SEGA TP T-103,19960129,CD-1/1,JT,J
DX Nippon Tokkyuu Ryokou Game - Let's Travel in Japan v1.000 (1996)(Takara)(JP)[!],DX TOKKYU RYOKOU,T-10306G,V1.000,SEGA SEGASATURN,SEGA TP T-103,19961029,CD-1/1,JT,J
Earthworm Jim 2 v1.004 (1996)(Virgin)(PAL)[!],EARTHWORM JIM 2,T-7019H-50,V1.004,SEGA SEGASATURN,SEGA TP T-70,19960912,CD-1/1,J,E
Elf o Karu Monotachi v1.001 (1997)(Altron)(JP)(Disc 1 of 2)[!],THOSE WHO HUNT ELVES,T-16605G,V1.001,SEGA SEGASATURN,SEGA TP T-166,19970317,CD-1/2,J,J
Elf o Karu Monotachi v1.001 (1997)(Altron)(JP)(Disc 2 of 2)[!][Omake],THOSE WHO HUNT ELVES OMAKE DISC,T-16605G,V1.001,SEGA SEGASATURN,SEGA TP T-166,19970317,CD-2/2,J,J
Enemy Zero v1.000 (1996)(Warp)(JP)(Disc 1 of 4)[!][Disk-0 - Opening Disk][T-30001GP-01270 2M3],ENEMY ZERO,T-30001G,V1.000,SEGA SEGASATURN,SEGA TP T-300,19961124,CD-1/4,JE,J
Enemy Zero v1.000 (1996)(Warp)(JP)(Disc 1 of 4)[!][Disk-0 - Opening Disk][T-30001GP-01270-P1K],ENEMY ZERO,T-30001G,V1.000,SEGA SEGASATURN,SEGA TP T-300,19961124,CD-1/4,JE,J
