redump_name,serial
BloodRayne 2 (USA) (Demo),MJ-013
"Bloody Roar - Extreme (Europe) (En,Fr,De,Es,It)",HU-001
Bloody Roar - Extreme (Japan),HU-001
Bloody Roar - Extreme (USA),HU-001
Blowout (Europe),MJ-008
Blowout (USA),MJ-008
"BMX XXX (Europe) (En,Fr,De,Es)",AC-014
BMX XXX (USA),AC-014
Braveknight - Leverant Eiyuuden (Japan),IL-002
Braveknight - Leverant Yeongungjeon (Korea),IL-002
Break Nine - World Billiards Tournament (Japan),AS-001
"Breakdown (Europe) (En,Fr,De,Es,It)",NM-009
Breakdown (Japan),NM-009
Breakdown (USA),NM-009
Breakdown (USA) (Demo),NM-018
"Breeders' Cup - World Thoroughbred Championships (USA) (En,Fr,De,Es)",BS-018
Brian Lara International Cricket 2005 (Europe),CM-078
"Broken Sword - The Sleeping Dragon (Europe) (En,Fr,De,Es,It)",TQ-029
Broken Sword - The Sleeping Dragon (USA),TQ-029
Brothers in Arms - Earned in Blood (USA) (Demo),US-090
"Brothers in Arms - Earned in Blood (USA, Europe) (En,Fr,De,Es,It)",US-090
"Brothers in Arms - Road to Hill 30 (Germany) (En,Fr,De,Es,It)",US-060
"Brothers in Arms - Road to Hill 30 (Japan) (En,Ja)",US-091
"Brothers in Arms - Road to Hill 30 (World) (En,Fr,De,Es,It)",US-060
"Bruce Lee - Quest of the Dragon (Europe) (En,Fr,De,Es,It)",VV-002
Bruce Lee - Quest of the Dragon (USA),VU-022
"Brute Force (Europe) (En,Fr,De,Es,It)",MS-030
"Brute Force (Japan, Asia) (En,Ja,Ko)",MS-030
"Brute Force (USA) (En,Fr,De,Es,It)",MS-030
"Buffy the Vampire Slayer - Chaos Bleeds (Europe) (En,Fr,De,Es)",VU-005
Buffy the Vampire Slayer - Chaos Bleeds (USA),VU-005
Buffy the Vampire Slayer (Asia),EA-018
Buffy the Vampire Slayer (Europe),EA-018
Buffy the Vampire Slayer (USA),EA-018
"Burnout (Europe) (En,Fr,De,Es,It)",AC-006
Burnout (USA),AC-006
"Burnout 2 - Point of Impact (Europe) (En,Fr,De,Es,It)",AC-025
Burnout 2 - Point of Impact (USA),AC-025
Burnout 3 - Takedown (Asia),EA-091
"Burnout 3 - Takedown (Europe) (En,Es,Nl,Sv)",EA-091
"Burnout 3 - Takedown (Europe) (Fr,De,It)",EA-091
Burnout 3 - Takedown (USA),EA-091
Burnout Revenge (Asia),EA-118
Burnout Revenge (Europe) (Demo),EA-129
"Burnout Revenge (Europe) (En,Fr,De)",EA-118
"Burnout Revenge (Europe) (Es,It,Nl,Sv,Da,Fi)",EA-118
Burnout Revenge (USA),EA-118
Burnout Revenge (USA) (Demo),EA-129
C.A.T - Cyber Attack Team (Japan),ME-001
"Cabela's Big Game Hunter 2005 Adventures (USA, Europe)",AV-062
"Cabela's Dangerous Hunts (Europe, Australia)",AV-025
Cabela's Dangerous Hunts (USA),AV-025
"Cabela's Dangerous Hunts 2 (USA, Australia)",AV-082
Cabela's Deer Hunt - 2004 Season (USA),AV-048
"Cabela's Deer Hunt - 2005 Season (USA, Australia)",AV-063
"Cabela's Outdoor Adventures (USA, Australia)",AV-077
"Call of Cthulhu - Dark Corners of the Earth (Europe) (En,Fr,De)",BS-007
Call of Cthulhu - Dark Corners of the Earth (USA),BS-007
"Call of Duty - Finest Hour (Europe) (En,Fr,Es,It)",AV-042
Call of Duty - Finest Hour (Germany),AV-042
Call of Duty - Finest Hour (Japan),AV-042
"Call of Duty - Finest Hour (USA, Europe)",AV-042
"Call of Duty 2 - Big Red One (Europe) (Fr,Es,It)",AV-081
Call of Duty 2 - Big Red One (Germany),AV-081
Call of Duty 2 - Big Red One (World),AV-081
Call of Duty 2 - Big Red One (World) (Collector's Edition),AV-081
"Call of Duty 3 (Europe) (Fr,It)",AV-093
Call of Duty 3 (Germany),AV-093
"Call of Duty 3 (USA, Europe)",AV-093
"Capcom Classics Collection Vol. 1 (USA, Europe)",CC-024
Capcom Classics Collection Vol. 2 (USA),CC-025
"Capcom Fighting Evolution ~ Capcom Fighting Jam (World) (En,Ja)",CC-016
Capcom vs. SNK 2 EO - Mark of the Millennium 2001 (Europe),CC-008
Capcom vs. SNK 2 EO - Mark of the Millennium 2001 (Korea),CC-008
Capcom vs. SNK 2 EO (Japan),CC-008
Capcom vs. SNK 2 EO (USA),CC-008
"Carmen Sandiego - The Secret of the Stolen Drums (Europe) (En,Fr,De,Es)",BM-006
Carmen Sandiego - The Secret of the Stolen Drums (USA),BM-006
"Carve (USA, Europe) (En,Fr,De,Es,It)",TT-016
"Castlevania - Curse of Darkness (Europe) (En,Fr,De,Es,It)",KN-045
Castlevania - Curse of Darkness (USA),KN-045
"Cat in the Hat, The (Europe) (En,Fr,De,Es,It)",VU-040
Catwoman (Asia),EA-092
"Catwoman (Europe) (En,Fr,De,Es,It,Nl,Da)",EA-092
Catwoman (USA),EA-092
Cel Damage (Europe),EA-017
Cel Damage (USA),EA-017
Championship Bowling (USA),XM-003
"Championship Manager - Season 01-02 (Europe) (En,Fr,De,Es,It)",ES-002
"Championship Manager - Season 02-03 (Europe) (En,De,It)",ES-012
"Championship Manager 2006 (Europe) (En,Fr,It)",SC-256
Championship Manager 5 (Europe),ES-026
"Charlie and the Chocolate Factory (Europe) (En,Fr,De,It)",TT-129
Charlie and the Chocolate Factory (USA),TT-129
"Chase - Hollywood Stunt Driver (Europe) (En,Fr,De,Es,It)",BM-001
Chase - Hollywood Stunt Driver (USA),BM-001
Chessmaster (USA),US-057
Chicago Enforcer (USA),KB-005
Chicago Enforcer (USA) (Beta) (2004-11-08),
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (Europe)",BV-003
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA)",BV-003
"Chronicles of Riddick, The - Escape from Butcher Bay (Europe) (Demo)",VU-059
"Chronicles of Riddick, The - Escape from Butcher Bay (Europe) (En,Fr,De)",VU-038
"Chronicles of Riddick, The - Escape from Butcher Bay (USA)",VU-038
"Chroniken von Narnia, Die - Der Koenig von Narnia (Germany)",BV-003
Circus Drive (Japan),CC-005
Circus Maximus - Chariot Wars (Europe),TQ-012
Circus Maximus - Chariot Wars (USA),EC-001
"Classified - The Sentinel Crisis (USA, Europe)",TT-125
"Close Combat - First to Fight - United States Marines (Europe) (En,Fr,De,It)",TT-018
Close Combat - First to Fight - United States Marines (USA),TT-018
