redump_name,serial,name,localizedName
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),SLPS-02050,A Ressha de Ikou Z - Mezase! Tairiku Oudan,Ａ列車で行こうＺ　目指せ！大陸横断
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),SLPS-02812,,
A Sangre Fria (Spain) (Disc 1),SCES-02153,A Sangre Fria (Disc 1),
A Sangre Fria (Spain) (Disc 2),SCES-12153,A Sangre Fria (Disc 2),
A Sangue Freddo (Italy) (Disc 1),SCES-02152,A Sangue Freddo (Disc 1),
A Sangue Freddo (Italy) (Disc 2),SCES-12152,A Sangue Freddo (Disc 2),
"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",SCES-00290,A.IV - Evolution Global,
A2 Racer - Europa Tour (Netherlands),SLES-02695,A2 Racer - Europa Tour,
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SLPS-01120,A5 - A Ressha de Ikou 5,Ａ５　Ａ列車で行こう５
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SCPS-45153,,
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SLPS-91124,A5 - A Ressha de Ikou 5 [Playstation The Best],
AbalaBurn (Japan),SLPS-01280,AbalaBurn,アバラバーン
Abe '99 (Japan) (Disc 1),SLPS-02095,Abe '99 (Disc 1),エイブ’９９ (DISC 1)
Abe '99 (Japan) (Disc 2),SLPS-02096,Abe '99 (Disc 2),エイブ’９９ (DISC 2)
Abe a GoGo (Japan),SLPS-01118,Abe a GoGo,エイブ・ア・ゴーゴー
Abe a GoGo (Japan) (Demo),SLPM-80175,Abe a GoGo (Demo),エイブ・ア・ゴーゴー
"Absolute Football (France) (En,Fr,De,Es,It,Pt)",SLES-01341,Absolute Football,
Ace Combat (Japan),SLPS-00061,Ace Combat,エースコンバット
Ace Combat (Japan),SLPS-91005,,
Ace Combat 2 (Europe),SCES-00699,Ace Combat 2,
Ace Combat 2 (France),SCES-00901,Ace Combat 2,
Ace Combat 2 (Germany),SCES-00902,Ace Combat 2,
Ace Combat 2 (Japan),SLPS-00830,Ace Combat 2,エースコンバット２
Ace Combat 2 (Japan) (Rev 1),SLPS-00830,Ace Combat 2,エースコンバット２
Ace Combat 2 (Japan) (Rev 1),SLPS-91146,,
Ace Combat 2 (USA),SLUS-00404,Ace Combat 2,
Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan),SLPM-80453,Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc,エースコンバット３　エレクトロスフィア　ダイレクト・オーディオ　ｗｉｔｈ　ＡｐｐｅｎＤｉｓｃ
"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",SCES-02066,Ace Combat 3 - Electrosphere,
Ace Combat 3 - Electrosphere (Japan) (Disc 1),SLPS-02020,Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1)
Ace Combat 3 - Electrosphere (Japan) (Disc 1),SLPS-91214,,
Ace Combat 3 - Electrosphere (Japan) (Disc 2),SLPS-02021,Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2)
Ace Combat 3 - Electrosphere (Japan) (Disc 2),SLPS-91215,,
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",SLPS-02020,Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1)
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",SCPS-45397,,
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",SLPS-02021,Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2)
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",SCPS-45398,,
Ace Combat 3 - Electrosphere (USA),SLUS-00972,Ace Combat 3 - Electrosphere,
Aces of the Air (USA),SLUS-01470,Aces of the Air,
Acid (Japan),SLPS-02119,Acid,アシッド
Acid (Japan) (Demo),SLPM-80430,Acid (Demo),アシッド
Acid (Japan) (Major Wave),SLPM-86589,Acid (Major Wave),アシッド
Aconcagua (Japan) (Disc 1),SCPS-10131,Aconcagua (Disc 1),アコンカグア (DISC 1)
Aconcagua (Japan) (Disc 2),SCPS-10132,Aconcagua (Disc 2),アコンカグア (DISC 2)
Action Bass (Europe),SLES-03105,Action Bass,
Action Bass (Japan),SLPM-86927,Action Bass,アクション・バス
Action Bass (USA),SLUS-01248,Action Bass,
"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)",SLES-03083,Action Man - Destruction X,
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",SLES-01761,Action Man - Mission Xtreme,
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)",SLES-01761,Action Man - Mission Xtreme,
Action Man - Operation Extreme (USA),SLUS-00887,Action Man - Operation Extreme,
Activision Classics (USA),SLUS-00777,Activision Classics,
"Actua Golf (Europe) (En,Fr,De)",SLES-00015,Actua Golf,
Actua Golf (Japan),SLPS-00298,Actua Golf,アクチャー・ゴルフ
Actua Golf 2 (Europe),SLES-00044,Actua Golf 2,
Actua Golf 3 (Europe),SLES-01042,Actua Golf 3,
"Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)",SLES-00188,Actua Ice Hockey,
Actua Ice Hockey (Japan),SLPM-86078,Actua Ice Hockey,アクチュア・アイスホッケー
Actua Ice Hockey 2 (Europe),SLES-01226,Actua Ice Hockey 2,
Actua Pool (Europe),SLES-01647,Actua Pool,
Actua Soccer - Club Edition (Europe),SLES-00190,Actua Soccer - Club Edition,
"Actua Soccer (Europe) (En,Fr)",SLES-00014,Actua Soccer,
"Actua Soccer (Europe) (En,Fr) (Rev 1)",SLES-00014,Actua Soccer,
Actua Soccer (Japan),SLPS-00297,Actua Soccer,アクチャーサッカー
"Actua Soccer 2 (Europe) (En,Fr)",SLES-00021,Actua Soccer 2,
"Actua Soccer 2 (Germany) (En,De)",SLES-01029,Actua Soccer 2,
Actua Soccer 2 (Italy),SLES-01028,Actua Soccer 2,
Actua Soccer 3 (Europe),SLES-01210,Actua Soccer 3,
Actua Soccer 3 (France),SLES-01644,Actua Soccer 3,
Actua Soccer 3 (Germany),SLES-01645,Actua Soccer 3,
Actua Soccer 3 (Italy),SLES-01646,Actua Soccer 3,
Actua Tennis (Europe),SLES-00265,Actua Tennis,
"Actua Tennis (Europe) (Fr,De)",SLES-01396,Actua Tennis,
Addie no Okurimono - To Moze from Addie (Japan),SCPS-10126,Addie no Okurimono - To Moze from Addie,アディのおくりもの　～ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ～
Addie no Okurimono - To Moze from Addie (Japan) (Demo),PAPX-90105,Addie no Okurimono - To Moze from Addie (Demo),アディのおくりもの　－ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ－
"Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)",SLES-04108,Adiboo & Paziral's Secret,
Adibou et l'Ombre Verte (France),SCES-03558,Adibou et L'Ombre Verte,
"Adidas Power Soccer (Europe) (En,Fr,De,Es,It)",SLES-00189,Adidas Power Soccer,
"Adidas Power Soccer (UK) (En,Fr,De,Es,It) (Demo)",SLES-00066,Adidas Power Soccer (Demo),
Adidas Power Soccer (USA),SCUS-94502,Adidas Power Soccer,
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe),SCED-00360,Euro Demo 08 (SCED-00360),
Adidas Power Soccer 2 (Europe) (Demo),SLED-00179,Adidas Power Soccer 2 (Demo),
"Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)",SLES-00857,Adidas Power Soccer 2,
"Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)",SLES-01239,Adidas Power Soccer 98,
Adidas Power Soccer 98 (France) (Demo),SLED-01310,Adidas Power Soccer 98 (Demo),
Adidas Power Soccer 98 (Germany) (Demo),SLED-01311,Adidas Power Soccer 98 (Demo),
