No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
Air Diver (Japan),SEGA MEGA DRIVE,(C)T-20 1989 NOV,ｴｱ ﾀﾞｲﾊﾞ-,AIR DIVER,GM,T-20023,0,35222 (0x8996),J,be6d115f383d07a4dce1f4d373d59d54377d1a6defa625303fa6dc8cff4914dd
Air Diver (USA),SEGA GENESIS,(C)T-35 1990 FEB,ｴｱ ﾀﾞｲﾊﾞ-,AIR DIVER,GM,T-35026,0,9756 (0x261C),U,19a7c283a25759cd50b579af831da04ec83c03399bfa977c3dc7b414e3cb0588
Air Hockey (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,40281a79d2f6bbc8c5473a612564e7d79ddb95849def6ac517b031ab0e6be580
Air Hockey (Europe) (Sega Reactor),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),17810 (0x4592),UEJ,514209014e850d0edf7b1cf8567a19c6a86f6fd4927db8257223843a2ea53b1e
Air Management - Oozora ni Kakeru (Japan),SEGA MEGA DRIVE,(C)T-76 1992.SEP,ｴｱ-ﾏﾈｼﾞﾒﾝﾄ,(unknown),GM,T-76083,20,30453 (0x76F5),J,20fc5fd1c289e863f5f8e27b34681b1c3a488be392b7de9e8be684205af9cb8b
Air Management II - Koukuuou o Mezase (Japan),SEGA MEGA DRIVE,(C)T-76 1993.NOV,ｴｱ-ﾏﾈｼﾞﾒﾝﾄ2,(unknown),GM,T-76143,0,4064 (0x0FE0),J,06b99adb1fcf9f3ece8dea5e15c7be0197632c7cf0c755fcd5a9b37f86f15d4e
"Al Michaels Announces HardBall III (USA, Europe)",SEGA GENESIS,(C)ACLD 1993.FEB,(unknown),HardBall III,GM,ACLD012,0,55075 (0xD723),JUE,bba8186e38d0d0938a439bda4fc2325c1b2c9760a643717fa4f372ebf9058fc2
Aladdin (Europe),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ALADDIN,ALADDIN,GM,MK-1058,0,42467 (0xA5E3),E,3fbaee79d52b426f554e817e70397fa51279aca0705fe6df304e7f61bfe8ec5f
Aladdin (Japan),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ALADDIN,ALADDIN,GM,G-4111,0,40114 (0x9CB2),J,121b5e2a0fc03816dc5d42e3069ef41120efc9a7d3728363c91449e762e7b7cc
Aladdin (USA),SEGA GENESIS,(C)SEGA 1993.AUG,ALADDIN,ALADDIN,GM,MK-1058,0,20346 (0x4F7A),U,a3779fc77994780e80d05bb557f800110d0398d34b951baa8c0a14910014ded3
