No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
"Marsupilami (USA) (En,Fr,De,Es,It)",SEGA GENESIS,(C)SEGA 1996.JAN,MARSUPILAMI,MARSUPILAMI,GM,MK-1841-00,(unknown),56857 (0xDE19),4,519f0dd1088cc96ea9ad66d6d76d1bfd04f2a292e96a30d81be0381e8a2e8fbd
Marvel Land (Japan),SEGA MEGA DRIVE,(C)T-14 1991.APR,MARVEL LAND,MARVEL LAND,GM,T-14093,1,54027 (0xD30B),J,86a07541741da39b9aa608998ad580241c244aa26d22081a6f489179a5b62dd7
Marvel Land (USA),SEGA GENESIS,(C)T-14 1991.JUN,MARVEL LAND,MARVEL LAND,GM,T-14046,0,60491 (0xEC4B),U,691539bcffa44c01c5b992a88b024d303e75241f25f5a441998478a64b8294fd
Mary Shelley's Frankenstein (USA),SEGA GENESIS,(C)T-93 1994.NOV,FRANKENSTEIN,FRANKENSTEIN,GM,T-93086,0,51430 (0xC8E6),U,385788dc67444e7d297f67bc8093084ad4d89b4e5d864ac67b6c2ee6e9ad6743
Master of Monsters (Japan),SEGA MEGA DRIVE,(C)T-63 1991.May,ﾏｽﾀｰｵﾌﾞﾓﾝｽﾀｰｽﾞ,(unknown),GM,T-63013,3,526 (0x020E),J,0d6977cf94c96873af2d14eba2532ac0d60bb345d6db78bac12b2a21d376c259
Master of Monsters (USA),SEGA MEGA DRIVE,(C)T-63 1991.May,ﾏｽﾀｰｵﾌﾞﾓﾝｽﾀｰｽﾞ,(unknown),GM,T-63013,3,4349 (0x10FD),U,f6f19744315921ed03cb5c07613a55b4749d72d09bcf0a20d0cf0be80746551b
Master of Weapon (Japan),SEGA MEGA DRIVE,(C)T-11 1991.SEP,Master Of Weapon,(unknown),GM,T-11063-00,(unknown),7781 (0x1E65),J,74855aad0e12ca37480cd47d96be66454072784f1a33fe4e6169ae7056300e19
Maten no Soumetsu (Japan),SEGA MEGA DRIVE,(C)T-46 1993.DEC,ﾏﾃﾝﾉｿｳﾒﾂ,(unknown),GM,T-46023,0,40450 (0x9E02),J,642018741320a5c7684991467e2bebcd514ea2caf51e4355f554c75572db864c
Math Blaster - Episode 1 (USA),SEGA GENESIS,(C)T-15 1994.SEP,MATH BLASTER,MATH BLASTER,AI,T-152016-00,(unknown),43219 (0xA8D3),U,dab2cf63787ec7fff81f41f7650ac7f7203669f2c678c3bc6328eb14da63520a
Mazin Saga - Mutant Fighter (USA),SEGA GENESIS,(C)T-23 1992.DEC,MAZIN SAGA,MAZIN SAGA,GM,T-23036,0,44364 (0xAD4C),U,e16d6807f212a82a56b89346f0a116252adf1f897a8206316e6ae1792477e409
Mazin Saga (Asia) (En),SEGA MEGA DRIVE,(C)SEGA 1992.DEC,MAZIN SAGA,MAZIN SAGA,GM,G-4078,0,30464 (0x7700),J,4f51781102a17530b2c955c6f82f489c253cbd7a539acbdb85fd8008c92e3f50
"Mazin Saga (Japan, Korea) (Ja)",SEGA MEGA DRIVE,(C)SEGA 1992.DEC,MAZIN SAGA,MAZIN SAGA,GM,G-4078,0,13663 (0x355F),J,0bbf1e79f2b46852b85f87ad1bd00825638a316cb04555a5d9d3a18c111c0e33
Mazin Wars (Europe),SEGA MEGA DRIVE,(C)SEGA 1992.DEC,MAZIN SAGA,MAZIN SAGA,GM,MK-1069,0,42805 (0xA735),E,95ebab07907e27094d0f5a4e60b337c28a52cb5dd867abef55b800f7e95ef560
McDonald's Treasure Land Adventure (Europe),SEGA MEGA DRIVE,(C)SEGA 1993.APR,MCDONALD'S      TREASURE LAND   ADVENTURE,MCDONALD'S      TREASURE LAND   ADVENTURE,GM,MK-01067-00,(unknown),62467 (0xF403),E,7bcac61d94339df73cd62568bcadf83ca196f677c3511ac621d59f3e8ce1ab70
McDonald's Treasure Land Adventure (Japan),SEGA MEGA DRIVE,(C)SEGA 1993.APR,MCDONALD'S      TREASURE LAND   ADVENTURE,MCDONALD'S      TREASURE LAND   ADVENTURE,GM,G-004102-00,(unknown),16830 (0x41BE),J,1fffc8622684fa1dd7f68e3878cc50f33188d1faff32251b257f125195ef697a
McDonald's Treasure Land Adventure (USA),SEGA GENESIS,(C)SEGA 1993.SEP,MCDONALD'S      TREASURE LAND   ADVENTURE,MCDONALD'S      TREASURE LAND   ADVENTURE,GM,MK-1067,0,41659 (0xA2BB),U,c175899c4af07ef7cc374636a2757742127633b441a2fb1e5ebc1f59460dbc6c
Medal City (Japan) (SegaNet),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),43497 (0xA9E9),J,d103fe147e2c6cd1fc1c019e87b2ffcd0136fc77ba60af37c789f7ec66a092ca
Mega 6 Vol. 3 (Europe),SEGA MEGA DRIVE,(C)SEGA 1996.Apr,MEGAGAMES Vol.3,MEGAGAMES Vol.3,GM,MK-1195,(unknown),2601 (0x0A29),F,65882768ef70d2595a052c91e71dab0acf6f4f691995e4210c982043b4835696
"Mega Bomberman (Europe, Korea) (En)",SEGA MEGA DRIVE,(C)SEGA 1994.DEC,MEGA BOMBER MAN,MEGA BOMBER MAN,GM,MK-1573-00,(unknown),59746 (0xE962),JUE,a89d7025d9496ec8a4814f022f796a2e0c4ab968e15cb8f241a07dde82ace354
Mega Bomberman (USA),SEGA MEGA DRIVE,(C)SEGA 1994.DEC,MEGA BOMBER MAN,MEGA BOMBER MAN,GM,MK-1573-00,(unknown),10739 (0x29F3),JUE,95cb73cf9c94bf8343b1814c4df0898aeb127a863ab42274f4f7cdee31fda1e1
Mega Games 2 (Europe),SEGA MEGA DRIVE,(C)SEGA 1993.MAR,(unknown),MEGA GAMES 2,GM,MK-1707,50,31217 (0x79F1),E,9212d5dc8ae661fef37bd73f94ff2a2310d7f5ba337a63803851f8a9b91f498b
"Mega Games 3 (Europe, Asia) (En)",SEGA MEGA DRIVE,(C)SEGA 1993.APR,MEGA GAMES 3,MEGA GAMES 3,(unknown),MK-1708-50,(unknown),420 (0x01A4),E,143ae361630c1465e7f8fa8a8fee3d8ed3491b7da03619823d29114639a3fd42
Mega Games 6 (Europe),SEGA MEGA DRIVE,(C)SEGA 1995.May,MEGAGAMES Vol.1,MEGAGAMES Vol.1,GM,MK-1188,(unknown),14962 (0x3A72),F,4df1b17e678e185ca258470732907894199044e347f86482a41dc9fad26f85d5
Mega Games 6 Vol. 2 (Europe),SEGA MEGA DRIVE,(C)SEGA 1995.JUN,MEGAGAMES Vol.2,MEGAGAMES Vol.2,GM,MK-1189,(unknown),10953 (0x2AC9),F,950d33d5ca39493f709a0a1a5e4a52a73d360459bafb4a544fb0c620f0f4e1b9
Mega Games I (Europe),SEGA MEGA DRIVE,(C)SEGA 1992.JUN,THREE IN ONE,THREE IN ONE,GM,00000000-00,(unknown),64530 (0xFC12),E,275032eabf4ff16ce5c32e941d88f3246260793ed49f0447e83e14101b24cc77
Mega lo Mania (Japan),SEGA MEGA DRIVE,(C)T-68 1993.FEB,MEGA lo MANIA,(unknown),GM,T-68053,0,62323 (0xF373),J,d95a4a99592ef527e9175ee3f8eaefdb936635f9395738a6755df571b0bbe9df
Mega Man - The Wily Wars (Europe),SEGA MEGA DRIVE,(C)T-12 1995.MAR,ﾛｯｸﾏﾝ ﾒｶﾞﾜｰﾙﾄﾞ,MEGAMAN THE WILY WARS,GM,T-12046,0,44323 (0xAD23),E,98f36274e4d73feefaba0e812024a6cecda2d864a2cbed7363b9d357f2e6a582
Mega Man - The Wily Wars (USA) (Genesis Mini),SEGA GENESIS,(C)T-12 1994.SEP,ﾛｯｸﾏﾝ ﾒｶﾞﾜｰﾙﾄﾞ,MEGAMAN THE WILY WARS,GM,T-12053,0,52098 (0xCB82),U,c3e5e56c1252de5a1ff3bb68b47366120f2c85d333a9ca0eb6df3dab1b03e583
Mega SWIV (Europe),SEGA MEGA DRIVE,(C)T-48 1994.NOV,MEGA SWIV,MEGA SWIV,GM,T-48366,0,64756 (0xFCF4),E,f9d38a4de596aa86f4d6288f05635c873a4e306ee9ba05f439e174aa8363b20e
Mega Turrican (Europe),SEGA MEGA DRIVE,(C)T-13 1993.DEC,MEGA TURRICAN,MEGA TURRICAN,GM,T-93246-50,(unknown),64199 (0xFAC7),E,1670385ef9b737cc4c8e034e5d654f3db02fde9ffa8f7d6cb4b94bcede8c2146
Mega Turrican (USA),SEGA GENESIS,(C)T-13 1993.DEC,MEGA TURRICAN,MEGA TURRICAN,GM,T-13086-00,(unknown),59913 (0xEA09),U,e43ad7d23af4da9d51792fe943dee9c7893d1f3aca230e11830ff27dcc875de0
"Mega Turrican (USA, Europe) (Virtual Console)",SEGA MEGA DRIVE,(C)T-13 1993.DEC,MEGA TURRICAN,MEGA TURRICAN,GM,T-13086-00,(unknown),8667 (0x21DB),JUE,9122c04c63689abd978ec09899d1a96340650646b15f967192ab8b7a68dc552e
Mega-lo-Mania (Europe),SEGA MEGA DRIVE,(C)T-XX 1992.SEP,MEGA lo MANIA,MEGA lo MANIA,GM,T-70056,0,17713 (0x4531),E,6248a695a4ebf00115ef8f979016263ce6123ee66bf09316a1541f875a023c07
Mega-lo-Mania (France),SEGA MEGA DRIVE,(C)T-XX 1992.SEP,MEGA lo MANIA,MEGA lo MANIA,GM,T-70056,0,63107 (0xF683),E,549d901fcd5e048b54015cbf9664d3fad67abdffa0c4e1c1824722d1b0bf7a2f
MegaMind (Japan) (SegaNet),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),43497 (0xA9E9),J,6e3d4b71800dcb53289afb90bed7d088cb96f56a2a0c25670ce5a8aeb4c4e05f
MegaPanel (Japan),SEGA MEGA DRIVE,(C)T-14 1990.AUG,MEGAPANEL,MEGAPANEL,GM,T-14073,0,13565 (0x34FD),J,6a6db177f297bff916f0a4fc9799b46d59e9b66982b7ec9a7991a867ba40ac98
MegaTrax (Japan),SEGA MEGA DRIVE,(C)T-14 1991.AUG,MEGATRAX,QUAD CHALLENGE,GM,T-14113,0,9031 (0x2347),J,58dfcf7b96055ff7d0b557db18c56cdb21524041e0db022a00c3e912ac1e90ad
"Menacer - 6-Game Cartridge (USA, Europe)",SEGA GENESIS,(C)SEGA 1992.AUG,MENACER,MENACER,GM,MK-1658,0,29738 (0x742A),UJE,7f6f00dbe774cee92cb91d0f1d26e898a199e5a5a8b77bf199a1b7f8a0d44b7b
Mercs (World),SEGA MEGA DRIVE,(C)SEGA 1991.AUG,戦場の狼Ⅱ,MERCS,mk,00001119-00,(unknown),3905 (0x0F41),JUE,f56ddf669afe63920bff1df792773ef4b3c4440b3f1655b1a012f17bb2eef379
Metal Fangs (Japan),SEGA MEGA DRIVE,(C)T-60 1992.JUN,METAL FANGS,METAL FANGS,GM,T-60033,1,27153 (0x6A11),J,8c28ad73952e7b0f0cf527b45e7dba0b8f400619804af1d94ca6aa38f2066352
"Michael Jackson's Moonwalker (Japan, USA) (En)",SEGA MEGA DRIVE,(C)SEGA 1990.JUL,マイケルジャクソンズ ムーンウォーカー,MICHAEL JACKSONFS MOONWALKER,GM,00004028-00,(unknown),14514 (0x38B2),JUE,1f09b10515bcb95e9624a4ea3103ce76c834fdf0f84f9ba4470a31a657d40657
Michael Jackson's Moonwalker (World) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1990.JUL,マイケルジャクソンズ ムーンウォーカー,MICHAEL JACKSONFS MOONWALKER,GM,00004028-01,(unknown),2415 (0x096F),JUE,5d262584ee80aebbe8a83d4b03606d7c1086fc3c03e1cd22d11151d24ba7b9f1
Mick & Mack as the Global Gladiators (USA),SEGA GENESIS,(C)VRGN 1992.OCT,GLOBAL GLADIATOR,GLOBAL GLADIATOR,GM,T-70066,0,31437 (0x7ACD),U,be46c86a05d702fbdce68811b0685b22ea4ce3acfec2e5ecc142ee1443eaa28f
Mickey Mania - The Timeless Adventures of Mickey Mouse (Japan),SEGA MEGA DRIVE,(C)SEGA 1995.JAN,MICKEY MANIA,MICKEY MANIA,GM,G-4131,0,482 (0x01E2),1,15d42d99fb4129325182cfb58e406f7abef4483fced74b62fce0950c35006b56
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),SEGA GENESIS,(C)T-93 1994.OCT,MICKEY MANIA,MICKEY MANIA,GM,T-93156,0,46121 (0xB429),U,b376adaa4b273eb3c879129a38cbe5b4d43efe9848849e953a015dd2d921ee0f
Mickey Mania (Europe),SEGA MEGA DRIVE,(C)T-93 1994.OCT,MICKEY MANIA,MICKEY MANIA,GM,T-93216,0,46121 (0xB429),E,9abc1adb9860b382b58d36c25eca9b92f1c70e576110b5eccbda6869a818ed8c
Mickey's Ultimate Challenge (USA),SEGA GENESIS,(C) T-112 93/NOV,Mickey's Ultimate Challenge,Mickey's Ultimate Challenge,GM,T112046-00,(unknown),56921 (0xDE59),U,bf93611ca4acb9320b4813dd10bc6a8f85691e02b818e2ce880d9b878ab497e0
Micro Machines - Military (Europe) (J-Cart),SEGA MEGA DRIVE,(C)SEGA 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5771 (0x168B),E,43e68f99620bb3dd0ff3b28d232ae43c5b6489716c4cde09725ab4b71704937e
Micro Machines - Turbo Tournament 96 (Europe) (J-Cart),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,ec3b97adf166b2e4e9ef402ac79ce9d458a932996b7fd259cd55db81adb496a6
Micro Machines - Turbo Tournament 96 (Europe) (Rev 1) (J-Cart),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,77ff023aa9f88aeb1605d3060b1331b816752b12b64ff2fe95d4a9f3c5dff946
Micro Machines (Europe),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,94175221fec37f1901d14dbcb821e8aa5d4bf22257994dfb2cc284f8974b00b3
Micro Machines (Europe) (Alt 2),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,642c1d6868bd223112b158c00acff62e8a96e0f8bb7299293f91595b3ccc3093
Micro Machines (Europe) (Alt),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,533c37e671ee027090e8aae24db5cc520d065deeed8d750f22ddde3200276c74
Micro Machines (USA),Fü'OøÿüMùÀ,0.fO,a^Àa`2QùÿÿHQøQøJQøKQøPFü alÌFü'aOÐa,^üÀFü paZaO¶Qø©ÍQø©Î1üÿöÌAø©ê~BPBh,1,1|\HQÏÿð,(unknown),12796 (0x31FC),,a670509c7a4feef122d8cbb2f09f9a45789b27cfd3f2f3ef967cc1378daf75da
Micro Machines (USA) (Rev 1),SEGA MEGA DRIVE,(C)T-99 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5726 (0x165E),E,2ae401c389a11322d4b6c3d88e7174c83582846774299a5850968ffbaa3d33ef
Micro Machines 2 - Turbo Tournament (Europe),SEGA MEGA DRIVE,(C)T-1201994.SEP,MICRO MACHINES II,MICRO MACHINES II,GM,T-120096-50,(unknown),61225 (0xEF29),JUE,9209241472f0e78f23405bb265c7c108c25413d9a01ec1455f4e2d17d80c188c
Micro Machines 2 - Turbo Tournament (Europe) (J-Cart),SEGA MEGA DRIVE,(C)T-1201994.SEP,MICRO MACHINES II,MICRO MACHINES II,GM,T-120096-50,(unknown),32336 (0x7E50),JUE,57fa3662f589929d180648090104f8c802894602a6f660755121cb44918f382c
Midnight Resistance (Japan),SEGA MEGA DRIVE,(C)T-13 1990.JAN,ミッドナイト　レジスタンス,(unknown),GM,T-13043,0,28490 (0x6F4A),J,d5c8cb049a75729a92364b2c4df005d18dff5a633967841b60de22fa26f87d06
Midnight Resistance (USA),SEGA MEGA DRIVE,(C)T-13 1990.JAN,ミッドナイト　レジスタンス,MIDNIGHT RESISTANCE,GM,T-13016,0,25433 (0x6359),U,a62343e7971062fac0c408c826499e0bd8f328d1ff703c4cf937c1329ce45edb
Midway Presents Arcade's Greatest Hits (Europe),SEGA MEGA DRIVE,(C)T-97 1996.NOV,(unknown),WILLIAMS ARCADE'S GREATEST HITS,GM,T-97126,50,45107 (0xB033),F,134d9a81c47b4189a45e94f49183fe5ee1cb50987bb878f129a7c44da312e626
"Mig-29 Fighter Pilot (Europe) (En,Fr,De,Es,It,Nl,Sv,Fi)",SEGA GENESIS,(C)T-50 1993.FEB,MIG 29 SUPER FULCRUM,MIG 29 SUPER FULCRUM,GM,T-088026,0,11740 (0x2DDC),EUJ,4220567be3fa8caafede2a53e1d6a5393992ed1cf2a51d6dd3e56eef20f83e69
Mig-29 Fighter Pilot (Japan),SEGA MEGA DRIVE,(C)T-48 1993.OCT,MIG 29 SUPER FULCRUM,MIG 29 SUPER FULCRUM,GM,T-48133,0,20862 (0x517E),JUE,1afcace3b8191c7e14c91dddd81ce84b9e7cb75b1f1f5f21237c0f146ffb4675
Mig-29 Fighter Pilot (USA),SEGA GENESIS,(C)T-50 1993.FEB,MIG 29 SUPER FULCRUM,MIG 29 SUPER FULCRUM,GM,T-088026,0,65521 (0xFFF1),UEJ,9389e83d98a08ef481355c33b926f04724b9f4e2969f96dc597a3783b6cb8764
"Might and Magic - Gates to Another World (USA, Europe)",SEGA GENESIS,(C)T-50 1991.JUL,MIGHT & MAGIC,MIGHT & MAGIC,GM,T-50166,1,56158 (0xDB5E),U,d86b6d7381ef67ecb5391eddb6857bf9d15b1e402da6bfc42cb003186599cbff
Mighty Morphin Power Rangers - The Movie (Europe),SEGA MEGA DRIVE,(C)SEGA 1995.AUG,POWER RANGERS 2,POWER RANGERS 2,GM,MK-1578,0,46786 (0xB6C2),8,aedc494ffa0e4f4b7b22a35599e3820171bc7670d958d89ed7f9dedca80407fd
Mighty Morphin Power Rangers - The Movie (USA),SEGA GENESIS,(C)SEGA 1995.AUG,POWER RANGERS 2,POWER RANGERS 2,GM,MK-1578,0,36562 (0x8ED2),4,294cb78bfc5fff2d1652d1e2568610e3ca8fe770e37ea83d1fa48e5aefde4633
Mighty Morphin Power Rangers (Europe),SEGA MEGA DRIVE,(C)SEGA 1994.AUG,MIGHTY MORPHIN   POWER RANGERS,MIGHTY MORPHIN   POWER RANGERS,GM,MK-1570,0,64538 (0xFC1A),E,1701e6cf9a76694b3ca41df1e06434250476c45dde6c94cb593ae460a40f1c1c
Mighty Morphin Power Rangers (USA),SEGA GENESIS,(C)SEGA 1994.AUG,MIGHTY MORPHIN   POWER RANGERS,MIGHTY MORPHIN   POWER RANGERS,GM,MK-1570,0,58394 (0xE41A),U,c5999af3fbc2805086f537b18ecaeed74d2a23eecf105f9e782ae1682d457840
Minato no Traysia (Japan),SEGA MEGA DRIVE,(C)T-49 1991.DEC,港のトレイジア,Traysia,GM,T-49073,0,30043 (0x755B),J,87f89fbf3164afe215c96f7af7ea4a5152a16ea1c4b32c3abe3e6179d16e8725
Minnesota Fats - Pool Legend (USA),SEGA GENESIS,(C)T-13 1995 APR,MINNESOTA FATS POOL LEGEND,MINNESOTA FATS POOL LEGEND,GM,T-13106,0,4748 (0x128C),4,4337d9187a06e329507171b5f285ceb2784ef8709c0b58c72121355d70052eca
"Miracle Piano Teaching System, The (USA)",SEGA GENESIS,(C)SEGA 1992.JUN,MIRACLE PIANO,MIRACLE PIANO,AI,T-87056,0,61926 (0xF1E6),U,fee69a20b6abf9ffd33da227bb02692fec38c55121a8f876fa7fcb00bdc00afb
MLBPA Baseball (USA),SEGA GENESIS,(C)T-50 1994.APR,MLBPA BASEBALL,MLBPA BASEBALL,GM,T-50816,0,16643 (0x4103),UEJ,9594259d482288bd9e42307cd2070399f49f7fd69ddb2d4834d4183f033f00e6
Monopoly (USA),SEGA GENESIS,(C)SEGA 1992.MAR,MONOPOLY,MONOPOLY,GM,T-89026,0,3178 (0x0C6A),U,304594f7215f09fbffd5b597336929ffc99fec16fa563bcaca10da0add20fa03
Monster World IV (Japan),SEGA MEGA DRIVE,(C)WSTN 1994.APR,Monster World 4,Monster World 4,GM,G-5519,0,30638 (0x77AE),J,3796f407ae0bf3b74bbe53335adf57f295f0bf53ef7d82b603ac73350eac8cae
Monster World IV (USA) (Genesis Mini),SEGA MEGA DRIVE,(C)WSTN 1994.APR,Monster World 4,Monster World 4,GM,G-9999,0,30638 (0x77AE),JUE,4a6957d54c6a7175ed3261431fac421ad0026a79fc904885ce9d117ed967d8ec
"Monster World IV (USA, Europe) (En,Ja) (Virtual Console)",SEGA MEGA DRIVE,(C)WSTN 1994.APR,Monster World 4,Monster World 4,GM,G-9999,0,30638 (0x77AE),JUE,6ed8588492f963015ba173cd4fc0cb6a2680bb6374fd930fcad757605dcfd70d
Mortal Kombat (World),SEGA GENESIS,(C)T-81 1993.JUN,MORTAL KOMBAT,MORTAL KOMBAT,GM,T-81186,0,19258 (0x4B3A),JUE,658547d3115c52f165a269099a9f7eaf66e5303a5004abf4a8774bcce6565bd2
Mortal Kombat 3 (Europe),SEGA MEGA DRIVE,(C)T-81 1995.AUG,MORTAL KOMBAT 3,MORTAL KOMBAT 3,GM,T-81536,50,4579 (0x11E3),8,c5ff1167b04d9b0908aafcbe1f233a6611bb92846aa5fde9e532347be2547a3d
Mortal Kombat 3 (USA),SEGA GENESIS,(C)T-97 1995.JUL,MORTAL KOMBAT 3,MORTAL KOMBAT 3,GM,T-097116,0,38498 (0x9662),4,d43f5fced516838836487b58603e30b0f8d3b1f30d923e20706d7c6bffa7c18b
Mortal Kombat II (World),SEGA GENESIS,(C)T-81 1994.JUN,MORTAL KOMBAT II,MORTAL KOMBAT II,GM,T-081346,0,19182 (0x4AEE),JUE,e8d4514ebcb91e09ffa636268660e7b3e24317e95179c3a9572f58c40866b747
Mosaico (Brazil) (Super Mega Drive 3),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,af2d524cca42c59c4be60bbbfa5657b4b2c189d0ce79c8747f191b6540b9446c
Mr. Nutz (Europe),SEGA MEGA DRIVE,(C)T-16 1994.DEC,MR NUTZ,MR NUTZ,GM,T-164016-00,(unknown),53277 (0xD01D),E,cccdf938aead4f20fbb3c472934f4107b2b1782c81b8355ca3a88060d4c92b1f
"Ms. Pac-Man (USA, Europe)",SEGA GENESIS,(C)T-48 1991.MAR,MS PACMAN,MS PACMAN,GM,T-48036,0,14686 (0x395E),U,87f3c75fea5c4e105163a3b6d4467527fdc3fcc4b8e385155067719b98b2be7c
Mugen Senshi Valis (Japan),SEGA MEGA DRIVE,(C)T-49 1991.DEC,ヴァリス Ⅰ,VALIS I,GM,T-49083,0,45468 (0xB19C),J,e418acee6ec05cd0548f599d0179f72565e9cac84dac823c77714dafc7d10590
Muhammad Ali Heavyweight Boxing (Europe),SEGA GENESIS,(C)VRGN 1992.NOV,MUHAMMAD ALI    HEAVYWEIGHT     BOXING,MUHAMMAD ALI    HEAVYWEIGHT     BOXING,GM,T-70096,0,24955 (0x617B),U,f04e1389c06709880ca0dc07296bab77552706a18810deef9fc05ce7fc4cf387
Muhammad Ali Heavyweight Boxing (USA),SEGA GENESIS,(C)VRGN 1992.NOV,MUHAMMAD ALI    HEAVYWEIGHT     BOXING,MUHAMMAD ALI    HEAVYWEIGHT     BOXING,GM,T-70056,0,7459 (0x1D23),U,0f279b19442b111f23c1ccf8bd1a2e5ab73957b59cdf8f3093b7d04162738d79
MUSHA - Metallic Uniframe Super Hybrid Armor (USA),SEGA GENESIS,(C)T-35 1990.SEP,武者アレスタ,M.U.S.H.A.,GM,T-35046,0,14183 (0x3767),U,2152485f4303f50687d1daf685245efa0131388fde7b861d34f8578283763673
"MUSHA - Metallic Uniframe Super Hybrid Armor (USA, Europe) (Switch Online)",SEGA GENESIS,(C)T-35 1990.SEP,武者アレスタ,M.U.S.H.A.,GM,T-35046,0,14183 (0x3767),U,ac4eb4243eb7b780dbcf88589e18ca2da9c02338c7845fb1c7772a324e2a1477
Musha Aleste - Full Metal Fighter Ellinor (Japan),SEGA MEGA DRIVE,(C)T-35 1990.SEP,武者アレスタ,M.U.S.H.A.,GM,T-35013,0,21014 (0x5216),J,dae4d0470bc8a5958914fef352ebb52fb762c921e5fc989102d1cf0fd145cdd7
Musha Aleste - Full Metal Fighter Ellinor (Japan) (Switch Online),SEGA MEGA DRIVE,(C)T-35 1990.SEP,武者アレスタ,M.U.S.H.A.,GM,T-35013,0,21014 (0x5216),J,d121ee63627a6c57aa6d8407023d60d3cdf9bceea9b3546f20837e697eccbefe
Mutant League Football (Japan),SEGA MEGADRIVE,(C)T-50 1993.SEP,MUTANT LEAGUE FOOTBALL,MUTANT LEAGUE FOOTBALL,GM,T-106183-00,(unknown),42140 (0xA49C),JU,f1d69794d2b8a5e6ef5f701fdf295f042d3223157fc47718be77eb305af4f792
"Mutant League Football (USA, Europe)",SEGA GENESIS,(C)T-50 1993.JUN,MUTANT LEAGUE FOOTBALL,MUTANT LEAGUE FOOTBALL,GM,T-50566,0,45801 (0xB2E9),UEJ,cfce2eda3921c22da0987ed3b5161e97334af28a0a68ead06c248a0ce2dead35
"Mutant League Hockey (USA, Europe)",SEGA GENESIS,(C)T-50 1994.JAN,MUTANT LEAGUE HOCKEY,MUTANT LEAGUE HOCKEY,GM,T-50766,0,18414 (0x47EE),UEJ,527ac0b1010ab500ee0b9dc6035b0a5c3a66fff189c4308ce1e64e18e886772a
"Mystic Defender (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1989.AUG,孔雀王２,MYSTIC DEFENDER,GM,00001011-00,(unknown),42221 (0xA4ED),JUE,19c61651983c26ef7e940b88abd82964bda9775806b5c33582baa2090b3e2484
"Mystic Defender (USA, Europe) (Rev A)",SEGA MEGA DRIVE,(C)SEGA 1989.AUG,孔雀王２,MYSTIC DEFENDER,GM,00001011-01,(unknown),6830 (0x1AAE),JUE,e33e792dd981a173796d59ceaecbe845859e11632cd3e7ff23e3c23e2ee821ea
Mystical Fighter (USA),SEGA MEGA DRIVE,(C)T-11 1992.FEB,MYSTICAL FIGHTER,(unknown),GM,T-11143-00,(unknown),60464 (0xEC30),U,2b358a711f12d0d71f88aa3f1b6d57029e21cc82f23b2ba5b7c46fd9d98990ba
Nakajima Satoru Kanshuu - F-1 Grand Prix (Japan),SEGA MEGA DRIVE,(C)T-72 1991.DEC,NAKAJIMA SATORU F1 GRAND PRIX,NAKAJIMA SATORU F1 GRAND PRIX,GM,T-72013,0,13778 (0x35D2),J,025d11574eaae92687d682562ecabf8e962d152cf8de85e5afd31ca70e5420fe
Nakajima Satoru Kanshuu - F-1 Hero MD (Japan),SEGA MEGA DRIVE,(C)T-00 1992.MAY,F1-HERO MD,(unknown),GM,T-72023,0,56067 (0xDB03),J,9918ce00ffeacabdb9884659c5b96007cb605c27f5231ac3e1538f71db6932fb
Nakajima Satoru Kanshuu - F-1 Super License (Japan),SEGA MEGA DRIVE,(C)T-72 1992.DEC,NAKAJIMA SATORU F1 SUPER LICENSE,NAKAJIMA SATORU F1 SUPER LICENSE,GM,T-72033,0,37519 (0x928F),J,d7d21b3e02a25e84fb88b2201120acf717076efea9d46840b366b0fb73c01061
NBA Action '94 (USA),SEGA GENESIS,(C)SEGA 1994.JAN,NBA Action,NBA Action,GM,MK-1221,0,16260 (0x3F84),U,cb5d0d8dbf2b96a14ed4a08b6aa0479421cd40598a5ec3bc89b4a84c917b3324
