Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Marko (USA) (Unl),SEGA GENESIS,(C)SEGA,1993.MAY,SEGA CD SAMPLE APP. WRITTEN BY TECH SUPPORT     ,SEGA CD SAMPLE APP. WRITTEN BY TECH SUPPORT     ,GM,MK-xxxx,0,J         ,U               
"Marko's Magic Football (Europe) (En,Fr,De,Es)",SEGA MEGADRIVE,(C)T-88,1995.JUN,MARKOS MAGIC FOOTBALL PUBLISHE,MARKOS MAGIC FOOTBALL PUBLISHE,GM,T-88025,5,J         ,E               
Mary Shelley's Frankenstein (USA),SEGA GENESIS,(C)T-93,1994.OCT,MARY SHELLEY`S FRANKENSTEIN,MARY SHELLEY`S FRANKENSTEIN,GM,T-93155,0,J         , U              
"Masked Rider, The - Kamen Rider ZO (USA)",SEGA GENESIS,(C)SEGA,1994.AUG,KAMEN RIDER ZO,THE MASKED RIDER: KAMEN RIDER,GM,MK-4444,0,J         ,U               
Mega Schwarzschild (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.JUN,MEGA Schwarzschild,MEGA Schwarzschild,GM,G-6020-,0,J         ,J               
MegaRace (USA),SEGA GENESIS,(C)T-87,1994.DEC,MEGARACE,MEGARACE,GM,T-87025,0,J         ,U               
Mickey Mania (Europe),SEGA MEGA DRIVE,(C)T-93,1994.SEP,MICKEY MANIA,MICKEY MANIA,GM,T-93305,0,J         ,  E             
"Mickey Mania (Europe) (Demo) (Mega Power, Sega Pro)",SEGA MEGA DRIVE,(C)T-93,1994.SEP,MICKEY MANIA,MICKEY MANIA,GM,T-93305,0,J         ,  E             
Mickey Mania (Europe) (Demo) (Mega Sega),SEGA MEGA DRIVE,(C)T-93,1994.SEP,MICKEY MANIA,MICKEY MANIA,GM,T-93305,0,J         ,  E             
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),SEGA GENESIS,(C)T-93,1994.SEP,MICKEY MANIA,MICKEY MANIA,GM,T-93265,0,J         , U              
Microcosm (Europe),SEGA MEGA DRIVE,(C)T-113,1993.NOV,MICROCOSM,MICROCOSM,GM,T-11301,0,J         , E              
Microcosm (Europe) (Alt),SEGA MEGA DRIVE,(C)T-113,1993.NOV,MICROCOSM,MICROCOSM,GM,T-11301,0,J         , E              
Microcosm (Japan),SEGA MEGA DRIVE,(C)T-60,1994.FEB,MICROCOSM,MICROCOSM,GM,T-60164,0,J         ,J               
Microcosm (Japan) (Demo),SEGA MEGA DRIVE,(C)SEGA,1991.AUG,SAMPLE INITIAL PROGRAM BY SEGA,SAMPLE INITIAL PROGRAM BY SEGA,XX,0,0,J         ,J               
Microcosm (USA),SEGA GENESIS,(C)T-113,1993.DEC,MICROCOSM,MICROCOSM,GM,T-11301,0,J         , U              
Midnight Raiders (Europe),SEGA MEGA DRIVE,(C)SEGA,1995.APR,MIDNIGHT RAIDERS,MIDNIGHT RAIDERS,GM,MK-4439,0,J         ,E               
Midnight Raiders (USA),SEGA GENESIS,(C)SEGA,1994.DEC,MIDNIGHT RAIDERS,MIDNIGHT RAIDERS,GM,MK-4439,0,J         ,U               
Might and Magic III - Isles of Terra (Japan),SEGA MEGA DRIVE,(C)T-68,1993.OCT,MIGHT AND MAGIC3,MIGHT AND MAGIC3,GM,T-68024,0,JM        ,J               
Mighty Mighty Missile (USA) (Unl),SEGA GENESIS,(C)EVMD,2005.SEP,MIGHTY_MIGHTY_MISSILE,MIGHTY_MIGHTY_MISSILE,GM,MK-4407,0,J         ,U               
Mighty Morphin Power Rangers (Europe),SEGA GENESIS,(C)SEGA,1994.OCT,MIGHTY MORPHIN POWER RANGERS,MIGHTY MORPHIN POWER RANGERS,GM,MK-4442,0,J         ,E               
Mighty Morphin Power Rangers (USA),SEGA GENESIS,(C)SEGA,1994.OCT,MIGHTY MORPHIN POWER RANGERS,MIGHTY MORPHIN POWER RANGERS,GM,MK-4442,0,J         ,U               
Mortal Kombat (Europe),SEGA GENESIS,(C)T-81,1994.MAY,MORTAL KOMBAT,MORTAL KOMBAT,GM,T-81025,0,J6L       ,E               
Mortal Kombat (USA),SEGA GENESIS,(C)T-81,1994.MAY,MORTAL KOMBAT,MORTAL KOMBAT,GM,T-81025,0,J6L       ,U               
Mortal Kombat Kanzenban (Japan),SEGA GENESIS,(C)T-81,1994.MAY,MORTAL KOMBAT,MORTAL KOMBAT,GM,T-81025,0,J6L       ,J               
My Paint (USA),SEGA MEGA DRIVE,(C)T-109,1994.MH,MYPAINT SEGA CD,MYPAINT MEGA CD,AI,T-109015,0,"J,M       ",U               
NBA Jam (Europe),SEGA MEGA DRIVE,(C)T-81,1994.SEP,NBAJAM          RAM,NBAJAM          RAM,GM,T-81035,0,J4        ,E               
NBA Jam (Japan),SEGA MEGA DRIVE,(C)T-81,1994.SEP,NBAJAM          RAM,NBAJAM          RAM,GM,T-81035,0,J4        ,J               
NBA Jam (USA),SEGA GENESIS,(C)T-81,1994.SEP,NBAJAM          RAM,NBAJAM          RAM,GM,T-81035,0,J         ,U               
NFL Football Trivia Challenge (USA),SEGA GENESIS,(C)T-13,1994.NOV,NFL TRIVIA CHALLENGE,NFL TRIVIA CHALLENGE,GM,T-135015,0,J         ,U               
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA),SEGA GENESIS,(C)SEGA,1993.DEC,N.F.L.'S GREATEST SAN FRANCISC,N.F.L.'S GREATEST SAN FRANCISC,GM,MK-4202,0,J         ,U               
NHL '94 (USA),SEGA GENESIS,(C)T-50,1993.NOV,NHL HOCKEY 94,NHL HOCKEY 94,GM,T-50015,0,J         ,U               
NHL Hockey '94 (Europe),SEGA MEGADRIVE,(C)T-50,1993.NOV,NHL HOCKEY 94,NHL HOCKEY 94,GM,T-50015,0,J         ,E               
"Night Striker (Japan, Korea)",SEGA MEGA DRIVE,(C)T-11,1993.MAY,NIGHT STRIKER,NIGHT STRIKER,GM,T-11014,0,JAC       ,J               
Night Trap (Europe) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1993.APR,,NIGHT TRAP,GM,MK-4903,0,J         ,E               
