Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Switch (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.MAR,SWITCH,SWITCH,GM,T-6009,0,JM        ,J               
"Syndicate (Europe) (En,Fr,De)",SEGA MEGADRIVE,(C)T-88,1995.AUG,SYNDICATE PUBLISHED BY DOMARK,SYNDICATE PUBLISHED BY DOMARK,GM,T-88065,50,J         ,E               
Tenbu Mega CD Special (Japan),SEGA MEGA DRIVE,(C)T-32,1992.DEC,TENBU,TENBU,GM,T-32084,0,J         ,J               
Tenkafubu - Eiyuutachi no Houkou (Japan),SEGA MEGA DRIVE,(C)T-45,1991.DEC,天下布武　～英雄たちの咆哮～,,GM,T-45024,0,JC        ,J               
"Terminator, The (Europe)",SEGA MEGA DRIVE,(C)T-70,1993.NOV,THE TERMINATOR,THE TERMINATOR,GM,T-70015,0,J         ,E               
"Terminator, The (USA)",SEGA GENESIS,(C)T-70,1993.NOV,THE TERMINATOR,THE TERMINATOR,GM,T-70015,0,J         ,U               
"Theme Park (Europe) (En,Fr,De,Es)",SEGA MEGADRIVE,(C)T-88,1995_JUL,THEME PARK PUBLISHED BY DOMARK,THEME PARK PUBLISHED BY DOMARK,GM,T-88055,50,J         ,E               
Third World War (USA),SEGA GENESIS,(C)T-22,1993.DEC,THE 3RD WORLD WAR,THE 3RD WORLD WAR,GM,T-22025,0,J         ,U               
Thunder Storm FX (Japan),SEGA MEGA DRIVE,(C)T-32,1992.AUG,THUNDER STORM,COBRA COMMAND,GM,T-32064,1,J         ,JUE             
Thunderhawk (Europe) (Demo),SEGA MEGA DRIVE,(C)T-07,1993.SEP,THUNDERHAWK,THUNDERHAWK,GM,T-115015,50,J         ,E               
"Thunderhawk (Europe) (Demo) (Mega Power, Sega Pro)",SEGA MEGA DRIVE,(C)T-60,1993.SEP,THUNDERHAWK,THUNDERHAWK,GM,T-115015,0,J         ,E               
"Thunderhawk (Europe) (En,Fr,De,Es) (RE)",SEGA MEGA DRIVE,(C)T-07,1993.SEP,THUNDERHAWK,THUNDERHAWK,GM,T-115015,0,J         ,E               
Thunderhawk (Japan),SEGA MEGA DRIVE,(C)T-07,1993.SEP,THUNDERHAWK,THUNDERHAWK,GM,T-60134,0,J         ,J               
Thunderhawk (Japan) (Demo),SEGA MEGA DRIVE,(C)T-07,1993.SEP,THUNDERHAWK,THUNDERHAWK,GM,T-60134,0,J         ,J               
Time Gal (Europe),SEGA MEGA DRIVE,(C)T-32,1993.APR,TIME GAL,TIME GAL,GM,MK-4417,0,J         ,JE              
Time Gal (Japan),SEGA MEGA DRIVE,(C)T-32,1992.SEP,TIME GAL,TIME GAL,GM,T-32114,1,J         ,J               
Time Gal (USA),SEGA GENESIS,(C)T-49,1993.APR,TIME GAL,TIME GAL,GM,T-6214 ,0,J         ,JU              
TimeCop (Europe) (Demo),SEGA MEGA DRIVE,(C)CRYO,1994.NOV,TIME COP,TIME COP,GM,T-66666,1,J         ,U               
Tomcat Alley (Australia),SEGA MEGA DRIVE,(C)SEGA,1994.MAR,TOMCAT ALLEY,TOMCAT ALLEY,GM,MK-4428,0,J         ,E               
Tomcat Alley (Europe),SEGA MEGA DRIVE,(C)SEGA,1994.MAR,TOMCAT ALLEY,TOMCAT ALLEY,GM,MK-4428,0,J         ,E               
Tomcat Alley (France),SEGA MEGA DRIVE,(C)SEGA,1995.MAR,TOMCAT ALLEY FRENCH,TOMCAT ALLEY FRENCH,GM,MK-00442,0,J         ,8
Tomcat Alley (Germany),SEGA MEGA DRIVE,(C)SEGA,1995.MAR,TOMCAT ALLEY GERMAN,TOMCAT ALLEY GERMAN,GM,MK-00442,0,J         ,8
Tomcat Alley (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.OCT,TOMCAT ALLEY,TOMCAT ALLEY,GM,G-006039,0,J         ,J               
Tomcat Alley (Spain),SEGA MEGA DRIVE,(C)SEGA,1995.MAR,TOMCAT ALLEY SPANISH,TOMCAT ALLEY SPANISH,GM,MK-00442,0,J         ,8
Tomcat Alley (USA),SEGA GENESIS,(C)SEGA,1994.MAR,TOMCAT ALLEY,TOMCAT ALLEY,GM,MK-4428,0,J         ,U               
Tomcat Alley (USA) (Alt),SEGA GENESIS,(C)SEGA,1994.MAR,TOMCAT ALLEY,TOMCAT ALLEY,GM,MK-4428,0,J         ,U               
Trivial Pursuit (USA),SEGA GENESIS,(C)T-89,1994.SEP,TRIVIAL PURSUIT,TRIVIAL PURSUIT,GM,T-89015,0,J         ,U               
Ultraverse Prime (USA),SEGA GENESIS,(C)T-93,1994.DEC,PRIME,PRIME,GM,T-93325,0,J         ,U               
Urusei Yatsura - Dear My Friends (Japan),SEGA MEGA DRIVE,(C)T-450,64  1994,URUSEI-YATSURA,URUSEI-YATSURA,GM,T-45064,0,J6M       ,J               
Urusei Yatsura - Dear My Friends (Japan) (Demo),SEGA MEGA DRIVE,(C)T-45,,URUSEI-YATSURA,URUSEI-YATSURA,GM,T-45064,0,JM        ,J               
Vay (USA),SEGA GENESIS,T-127 19,94.JUN,VAY,VAY,GM,T-127025,0,J         ,U               
Vay - Ryuusei no Yoroi (Japan),SEGA MEGA DRIVE,(C)SIMS,1993.SEP,VAY,,GM,44014,0,J         ,J               
Wakusei Woodstock - Funky Horror Band (Japan),SEGA MEGA DRIVE,(C)SEGA,1991.AUG,SAMPLE INITIAL PROGRAM BY SEGA,SAMPLE INITIAL PROGRAM BY SEGA,XX,0,0,J         ,J               
Warau Salesman (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,WARAU SALESMAN,WARAU SALESMAN,GM,G-6006,0,JM        ,J               
What Is X'Eye Multi Entertainment System (USA),SEGA MEGA DRIVE,(C)T-60,1993.DEC,WONDER-MEGA DEMO,WONDER-MEGA DEMO,GM,T-60114,0,J6        ,U               
Wheel of Fortune (USA),SEGA GENESIS,(C)T-93,1994.DEC,WHEEL OF FORTUNE,WHEEL OF FORTUNE,GM,T-93085,0,J4        ,U               
Who Shot Johnny Rock (USA),SEGA GENESIS,(C)T-111,1994.JUL,WHO SHOT JOHNNY ROCK?,WHO SHOT JOHNNY ROCK?,GM,T-111045,0,JMG       ,U               
Wild Woody (USA),SEGA GENESIS,(C)SEGA,1995.JUN,WILD WOODY,WILD WOODY,GM,MK-4440,0,J         ,U               
Wing Commander (Japan),SEGA MEGA DRIVE,SEGA ENT,ERPRISES,WING COMMANDER,WING COMMANDER,GM,G-6011,0,J6        ,J               
Wing Commander (USA),SEGA GENESIS,(C)T-50,1994.FEB,WING COMMANDER,WING COMMANDER,GM,T-50045,0,J6        ,U               
Winning Post (Japan),SEGA MEGA DRIVE,(C)T-76,1993.JUL,WinningPost     ECTION,ECTION,GM,T-76044,0,J         ,J               
WireHead (Europe) (Beta) (1995-09-12),SEGA MEGA DRIVE,(C)SEGA,1995.SEP,WIREHEAD,WIREHEAD,GM,MK-4437,0,J         ,E               
WireHead (USA),SEGA GENESIS,(C)SEGA,1995.SEP,WIREHEAD,WIREHEAD,GM,MK-4437,0,J         ,U               
Wolfchild (Europe),SEGA MEGA DRIVE,(C)SEGA,1991.AUG,WOLFCHILD,WOLFCHILD,GM,T-6403-0,,J         ,E               
Wolfchild (Japan),SEGA MEGA DRIVE,(C)SEGA,1991.AUG,WOLFCHILD,WOLFCHILD,GM,T-60104,0,J         ,J               
Wolfchild (USA),SEGA GENESIS,(C)T-98,1992.DEC,WOLFCHILD,WOLFCHILD,GM,T-6403-0,,J         ,U               
Wonder Dog (Europe),SEGA MEGA DRIVE,(C)T-98,1993.JAN,WONDERDOG,WONDERDOG,MK-,4423-00,,J         ,E               
Wonder Dog (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.JUL,WONDERDOG,WONDERDOG,GM,T-60074,0,J         ,J               
Wonder Dog (USA) (RE),SEGA GENESIS,(C)T-98,1992.DEC,WONDERDOG,WONDERDOG,GM,T-6402,,J         ,U               
WonderMega Collection (Japan) (Rev 2),SEGA MEGA DRIVE,(C)SEGA,1992.APR,WONDER-MEGA COLLECTION,WONDER-MEGA COLLECTION,GM,T-60064,10,J         ,J               
"World Cup USA '94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",SEGA MEGADRIVE,(C)T-79,1994.JUN,WORLD CUP USA'94,WORLD CUP USA'94,GM,T-79025,0,J4        ,E               
"World Cup USA '94 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",SEGA GENESIS,(C)T-79,1994.JUN,WORLD CUP USA'94,WORLD CUP USA'94,GM,T-79025,0,J4        ,U               
WWF - Rage in the Cage (Europe),SEGA MEGA DRIVE,(C)T-81,1993.NOV,WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,GM,T-81015,0,J6        ,E               
WWF - Rage in the Cage (USA),SEGA GENESIS,(C)T-81,1993.NOV,WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,GM,T-81015,0,J6        ,U               
WWF Mania Tour - WWF - Rage in the Cage (Japan),SEGA MEGA DRIVE,(C)T-81,1993.NOV,WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,GM,T-81015,0,J6        ,J               
Yumemi Mystery Mansion (Australia),SEGA MEGA DRIVE,(C)SEGA,1994.FEB,YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,GM,MK- 4430,,JM        ,E               
Yumemi Mystery Mansion (Europe) (Made in EU),SEGA MEGA DRIVE,(C)SEGA,1994.FEB,YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,GM,MK- 4430,,JM        ,E               
Yumemi Mystery Mansion (Europe) (Made in Japan),SEGA MEGA DRIVE,(C)SEGA,1994.FEB,YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,GM,MK- 4430,,JM        ,E               
Yumemi Yakata no Monogatari (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,YUMEMIYAKATA NO MONOGATARI,YUMEMIYAKATA NO MONOGATARI,GM,G-6027,0,JM        ,J               
Yumemi Yakata no Monogatari (Japan) (Demo),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,YUMEMIYAKATA NO MONOGATARI,YUMEMIYAKATA NO MONOGATARI,GM,G-6027,0,JM        ,J               
Yumimi Mix (Japan),SEGA MEGA DRIVE,(C)T-45,1992.DEC,ゆみみみっくす,,GM,T-45034,0,J         ,J               
