Scene Release,File Name,Game Title,Product Number,Redump Serial 1,Redump Serial 2,Redump Serial 3,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,"Alice Sisters (USA, Japan) (Unl)",Alice Sisters,T0000,,,,V4.2,20200106,"Japan/Asia, USA/Canada, Europe",OrionSoft,SEGA SEGAKATANA,SEGA ENTERPRISES,EAAD,CD-ROM1/1,JUE,0009C10,1ST_READ.BIN
Redump,Alien Front Online (USA),ALIENFRONT ONLINE,MK-51171,51171,,,V1.000,20010625,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,44A2,GD-ROM1/1,U,2799E10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (Europe) (Disc 1),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-05A,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM1/2,E,0799A10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (Europe) (Disc 2),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-05B,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM2/2,E,0799A10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (France) (Disc 1),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-09A,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM1/2,E,0799A10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (France) (Disc 2),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-09B,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM2/2,E,0799A10,1ST_READ.BIN
Redump,"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 1)",ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-18A,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM1/2,E,0799A10,1ST_READ.BIN
Redump,"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 2)",ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,T-15112D-18B,,,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM2/2,E,0799A10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (USA) (Disc 1),ALONE IN THE DARK - THE NEW NIGHTMARE,T15117N,T-15117N,,,V1.000,20010716,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM1/2,U,0799A10,1ST_READ.BIN
Redump,Alone in the Dark - The New Nightmare (USA) (Disc 2),ALONE IN THE DARK - THE NEW NIGHTMARE,T15117N,T-15117N,,,V1.000,20010716,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D695,GD-ROM2/2,U,0799A10,1ST_READ.BIN
