redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"Bakugan - Defenders of the Core (USA) (En,Fr)",ULUS-10536,,,,
Bakumatsu Rock - Ultra Soul (Japan),MARV-06387, ULJM 06388,,,
Bakumatsu Rock (Japan),ULJS 00598,,,,
"Baku-No (Japan, Asia)",UCAS 40017, ULJS 00017,,,
Bamboo Blade - Sorekara no Chousen (Japan),ULJM 05462,,,,
Bara no Ki ni - Bara no Hanasaku (Japan),ULJM 05802,,,,
Battle Dodgeball 3 (Japan),ULJS 00468,,,,
Battle Royal (India),UCES-01496,,,,
Battle Spirits - Kiseki no Hasha (Japan),ULJS 00238,,,,
"Battle vs. Chess (Europe) (En,Fr,De,Es,It,Pl,Ru) (Proto) (2011-12-15)",ULES-01517,,,,
"BattleZone (Europe) (En,Fr,De,Es,It)",ULES-00522,,,,
BattleZone (USA),ULUS-10156,,,,
B-Boy (Europe) (Demo),UCED-00432, UCED-00432/9681373,,,
"B-Boy (Europe) (En,Fr,De,Es,It)",UCES-00249,,,,
B-Boy (USA),ULUS 10363,,,,
"Beaterator (Europe, Australia) (En,Fr,De,Es,It)",ULES-01023,,,,
Beaterator (USA),ULUS-10405,,,,
Beit Hell 2000 (Japan),UCJS 10022,,,,
"Ben 10 - Alien Force - Vilgax Attacks (Europe) (En,Fr,De,Es,It)",ULES-01358,,,,
Ben 10 - Alien Force - Vilgax Attacks (USA),ULUS-10488,,,,
"Ben 10 - Alien Force (Europe) (En,Fr,De,Es,It)",ULES-01189,,,,
"Ben 10 - Alien Force (USA) (En,Fr,De,Es,It)",ULUS-10387,,,,
Ben 10 - Protector of Earth (Europe),ULES-00905,,,,
"Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It)",ULES-00906,,,,
Ben 10 - Protector of Earth (USA),ULUS-10307,,,,
"Ben 10 - Ultimate Alien - Cosmic Destruction (Europe) (En,Fr,De,Es,It)",ULES-01471,,,,
Ben 10 - Ultimate Alien - Cosmic Destruction (USA),ULUS 10542,,,,
"Beowulf - The Game (Europe) (En,Fr,De,Es,It)",ULES-00992,,,,
"Beowulf - The Game (USA) (En,Fr,De,Es,It)",ULUS-10329,,,,
Beta Bloc (Italy),ULES-00792,,,,
"Bigs 2, The (USA)",ULUS-10448,,,,
"Bigs, The (USA)",ULUS-10284,,,,
Biz Taiken Series - Kigyoudou (Japan),ULJS 00050,,,,
Black Code (Japan),ULJM 06370,,,,
Black Robinia (Japan),ULJM 05826,,,,
Black Rock Shooter - The Game (Japan),JRPG 00001, ULJM 05859,,,
Black Wolves Saga - Last Hope (Japan),ULJM 06219, ULJM 06220,,,
"Blade Dancer - Lineage of Light (Europe) (En,Fr,De,Es,It)",ULES-00541,,,,
Blade Dancer - Lineage of Light (USA),ULUS-10124,,,,
Blade Dancer - Sennen no Yakusoku (Japan),UCJS 10021,,,,
"BlazBlue - Calamity Trigger (Europe) (En,Ja,Fr,De,Es,Zh,Ko)",ULES-01497,,,,
"BlazBlue - Calamity Trigger (USA) (En,Ja,Zh,Ko)",ULUS-10519,,,,
BlazBlue - Calamity Trigger Portable (Japan),ULJM 05613,,,,
BlazBlue - Continuum Shift Extend (Japan),ULJM 06061,,,,
"BlazBlue - Continuum Shift II (Asia) (En,Ja,Zh,Ko)",UCAS-40337,,,,
"BlazBlue - Continuum Shift II (Europe) (En,Ja,Zh,Ko)",ULES-01526,,,,
BlazBlue - Continuum Shift II (Japan),ULJM 05850,,,,
BlazBlue - Continuum Shift II (USA) (Beta) (2011-02-28),ULUS-10579,,,,
"BlazBlue - Continuum Shift II (USA) (En,Ja,Zh,Ko)",ULUS-10579,,,,
Blaze Union - Story to Reach the Future (Japan),ULJM 05503,,,,
Blazing Souls Accelate (Europe),ULES-01562,,,,
Blazing Souls Accelate (Japan) (v1.02),ULJM 05490,,,,
Blazing Souls Accelate (Japan) (v2.00),ULJM 05490,,,,
Blazing Souls Accelate (USA),ULUS-10527,,,,
Bleach - Heat the Soul (Japan),UCJS-10008,,,,
Bleach - Heat the Soul 2 (Japan),UCJS 10017,,,,
Bleach - Heat the Soul 3 (Japan),UCJS 10042,,,,
Bleach - Heat the Soul 4 (Japan),UCJS 10057,,,,
Bleach - Heat the Soul 5 (Japan),UCJS-10082,,,,
Bleach - Heat the Soul 6 (Asia),UCAS-40258,,,,
Bleach - Heat the Soul 6 (Japan),UCJS 10093,,,,
Bleach - Heat the Soul 7 (Japan),UCJS-10110,,,,
Bleach - Heat the Soul 7 (Korea),UCKS 45158,,,,
Bleach - Soul Carnival (Japan),UCJS 10085,,,,
Bleach - Soul Carnival 2 (Japan),UCJS 10106,,,,
"Bliss Island (Europe) (En,Fr,De,Es,It)",ULES-00616,,,,
Blitz - Overtime (USA),ULUS 10200,,,,
Blokus Club Portable with Bumpy Trot (Japan) (Taikenban),ULJM-91007,,,,
"Blokus Portable - Steambot Championship (Europe) (En,Fr,De,Es,It)",ULES-01016,,,,
Blokus Portable - Steambot Championship (USA),ULUS-10332,,,,
"Blood Bowl (Europe) (En,Fr,De,Es,It)",ULES-01230,,,,
Blood Bowl (USA),ULUS-10516,,,,
Blood+ - Final Piece - Saigo no Kakera (Japan),UCJS 10044,,,,
Blue Roses - Yousei to Aoi Hitomi no Senshitachi (Japan),ULJS 00310,,,,
Boku no Natsuyasumi 4 - Setouchi Shounen Tanteidan - Boku to Himitsu no Chizu (Japan),UCJS 10095, UCJS 18046,,,
Boku no Natsuyasumi Portable - Mushi Mushi Hakase to Teppen-yama no Himitsu!! (Japan),UCJS 10038, UCJS 18013,,,
Boku no Natsuyasumi Portable 2 - Nazo Nazo Shimai to Chinbotsusen no Himitsu! (Japan),UCJS 10111,,,,
Boku no Watashi no Katamari Damacy (Japan),ULJS 00033, ULJS 19009,,,
Boku wa Koukuu Kanseikan - Airport Hero Naha (Japan),ULJM 05171,,,,
Boku wa Koukuu Kanseikan - Airport Hero Narita (Japan),ULJM 05128,,,,
Boku wa Koukuu Kanseikan - Airport Hero Shinchitose (Japan),ULJM 05453,,,,
Boku wa Tomodachi ga Sukunai Portable (Japan),ULJS 00459,,,,
Bokujou Monogatari - Harvest Moon - Boy & Girl (Japan),ULJS 00034, ULJS 19008,,,
