File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Atsumare! Guru Guru Onsen BB v1.002 (2000)(Sega)(JP)[!],ATSUMARE GURU GURU ONSEN BB,HDR-0121,V1.002,20001005,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,24C5,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen BB v1.100 (2000)(Sega)(JP)[!],ATSUMARE GURU GURU ONSEN BB,HDR-0121,V1.100,20001224,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,33B7,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen v1.008 (1999)(Sega)(JP)[!],ATSUMARE GURU GURU ONSEN,HDR-0015,V1.008,19990831,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,7E06,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen v1.101 (2000)(Sega)(JP)[!][Web Money Card Doukon-ban],ATSUMARE GURU GURU ONSEN,HDR-0015,V1.101,20000404,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,D6FF,GD-ROM1/1,J,2799A10,1ST_READ.BIN
"Aventures de Buzz L'Eclair, Les v1.001 (2001)(Activision)(PAL)(FR)[!]",BUZZ 2000,T13005D 09,V1.001,20010108,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,9EB4,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Bakumatsu Roman Dai ni Maku - Gekka no Kenshi - Final Edition v1.003 (2000)(SNK)(JP)(en)[!],GEKKA NO KENSHI2 FINAL EDITION,T3107M,V1.003,20001024,Japan/Asia,SEGA LC-T-31,SEGA SEGAKATANA,SEGA ENTERPRISES,D39B,GD-ROM1/1,J,07BBA00,1ST_READ.BIN
Bakuretsu Muteki Bangaioh v1.003 (1999)(ESP)(JP)[!],BAKURETSUMUTEKI BANGAIOH,T38702M,V1.003,19991026,Japan/Asia,SEGA LC-T-387,SEGA SEGAKATANA,SEGA ENTERPRISES,725F,GD-ROM1/1,J,2799800,1ST_READ.BIN
Baldr Force EXE v1.002 (2004)(Alchemist)(JP)[!],BALDR FORCE EXE,T47110M,V1.002,20040928,Japan/Asia,SEGA LC-T-471,SEGA SEGAKATANA,SEGA ENTERPRISES,AD29,GD-ROM1/1,J,A799A10,1ST_READ.BIN
BANG! - Gunship Elite v1.003 (2000)(Red Storm)(US)(M3)[!],BANG! GUNSHIP ELITE,T44102N,V1.003,20001204,USA/Canada,SEGA LC-T-441,SEGA SEGAKATANA,SEGA ENTERPRISES,22A2,GD-ROM1/1,U,799811,0WINCEOS.BIN
Bangai-O v1.001 (2000)(Crave)(US)[!],BANGAI-O,T40217N,V1.001,20001214,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,BA9B,GD-ROM1/1,U,799800,1ST_READ.BIN
Bangai-O v1.001 (2000)(Virgin)(PAL)(M3)[!],BANGAI-O,T7011D  50,V1.001,20000901,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,65E1,GD-ROM1/1,E,799800,1ST_READ.BIN
Bass Rush Dream - Ecogear PowerWorm Championship v2.000 (2000)(Visco)(JP)[!],BASS RUSH DREAM,T5801M,V2.000,20001121,Japan/Asia,SEGA LC-T-58,SEGA SEGAKATANA,SEGA ENTERPRISES,4075,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Battle Beaster v1.003 (2001)(Studio Wonder Effect)(JP)[!],BATTLE BEASTER,T43801M,V1.003,20010218,Japan/Asia,SEGA LC-T-438,SEGA SEGAKATANA,SEGA ENTERPRISES,D5A8,GD-ROM1/1,J,0199C10,1ST_READ.BIN
Berserk - Millennium Falcon-hen - Wasurebana no Shou v1.001 (1999)(ASCII)(JP)[!],BERSERK,T2101M,V1.001,19991104,Japan/Asia,SEGA LC-T-21,SEGA SEGAKATANA,SEGA ENTERPRISES,561B,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bikkuriman 2000 - Viva!Festiva! v1.002 (2000)(Sega Toys)(JP)[!],BIKKURIMAN 2000 VIVA FESTIVA,T41801M,V1.002,20000406,Japan/Asia,SEGA LC-T-418,SEGA SEGAKATANA,SEGA ENTERPRISES,334B,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Biohazard - Code Veronica - Kanzenban v1.003 (2001)(Capcom)(JP)(Disc 1 of 2)[!],BIOHAZARD CODE VERONICA PLUS,T1240M,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1E07,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Biohazard - Code Veronica - Kanzenban v1.003 (2001)(Capcom)(JP)(Disc 2 of 2)[!],BIOHAZARD CODE VERONICA PLUS,T1240M,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1E07,GD-ROM2/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 1 of 2)[!][2, 3]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM1/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 1 of 2)[!][2M1, 2M3, 2MB1, 2MB6]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM1/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 1 of 2)[!][HK112D, HK112E]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM1/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 2 of 2)[!][1, 2]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM2/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 2 of 2)[!][1M3, 1M4, 1MM1]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM2/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica Shokai Genteiban v1.002 (1999)(Capcom)(JP)(Disc 2 of 2)[!][HK112A, HK112F]",BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM2/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica v1.002 (1999)(Capcom)(JP)(Disc 1 of 2)[!][HK112I, HK112J]",BIOHAZARD CODE VERONICA,T1207M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,03C0,GD-ROM1/2,J,0799A10,1ST_READ.BIN
"Biohazard - Code Veronica v1.002 (1999)(Capcom)(JP)(Disc 2 of 2)[!][HK112H, HK113A, HK127A]",BIOHAZARD CODE VERONICA,T1207M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,03C0,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Biohazard 2 Value Plus v1.005 (1999)(Capcom)(JP)(en)(Disc 1 of 2)[!][Leon],BIOHAZARD 2 VALUE PLUS,T1214M,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,33DB,GD-ROM1/3,J,0799A11,0WINCEOS.BIN
Biohazard 2 Value Plus v1.005 (1999)(Capcom)(JP)(en)(Disc 2 of 2)[!][Claire],BIOHAZARD 2 VALUE PLUS,T1214M,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,33DB,GD-ROM2/3,J,0799A11,0WINCEOS.BIN
Biohazard 3 - Last Escape v1.002 (2000)(Capcom)(JP)[!],BIOHAZARD3,T1222M,V1.002,20000913,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,87A7,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Black Matrix A-D v1.002 (1999)(NEC InterChannel)(JP)(Disc 1 of 2)[!],BLACK MATRIX AD,T20101M,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,D078,GD-ROM1/2,J,199800,1ST_READ.BIN
Black Matrix A-D v1.002 (1999)(NEC InterChannel)(JP)(Disc 2 of 2)[!],BLACK MATRIX AD,T20101M,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,D078,GD-ROM2/2,J,199800,1ST_READ.BIN
Blue Stinger v1.000 (1999)(Activision)(PAL)(DE)[!],BLUE STINGER,T13001D 18,V1.000,19990803,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,2060,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Blue Stinger v1.000 (1999)(Activision)(PAL)(FR)[!],BLUE STINGER,T13001D 09,V1.000,19990811,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,DFD2,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Blue Stinger v1.000 (1999)(Activision)(PAL)[!],BLUE STINGER,T13001D-05,V1.000,19990722,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,D38A,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Blue Stinger v1.000 (1999)(Activision)(US)[!][%BLUESTINGER],BLUE STINGER,T13001N,V1.000,19990705,USA/Canada,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,6A10,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Blue Stinger v1.000 (1999)(Activision)(US)[!][7S],BLUE STINGER,T13001N,V1.000,19990705,USA/Canada,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,6A10,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Blue Stinger v1.006 (1999)(Sega)(JP)[!],BLUE STINGER,HDR-0003,V1.006,19990304,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,A4E5,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bokomu no Tatsujin v1.004 (2001)(Fujicom)(JP)[!],BOKOMU NO TATSUJIN,T42904M,V1.004,20011127,Japan/Asia,SEGA LC-T-429,SEGA SEGAKATANA,SEGA ENTERPRISES,1243,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Boku Doraemon v1.003 (2000)(Sega Toys)(JP)[!],BOKU DORAEMON,T41802M,V1.003,20001204,Japan/Asia,SEGA LC-T-418,SEGA SEGAKATANA,SEGA ENTERPRISES,5B90,GD-ROM1/1,J,799810,1ST_READ.BIN
Boku no Tennis Jinsei v1.005 (20001)(Bimboosoft)(JP)[!],BOKU NO TENNIS JINSEI,T41202M,V1.005,20010807,Japan/Asia,SEGA LC-T-412,SEGA SEGAKATANA,SEGA ENTERPRISES,BACA,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Boku to Bokura no Natsu v1.001 (2002)(KID)(JP)[!],BOKU TO BOKURA NO NATU,T19717M,V1.001,20020724,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,EEDE,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bomber Hehhe! v1.004 (2001)(Fujicom)(JP)[!],BOMBER HEHHE,T42903M,V1.004,20010926,Japan/Asia,SEGA LC-T-429,SEGA SEGAKATANA,SEGA ENTERPRISES,3BFE,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bomberman Online v1.004 (2001)(Sega)(US)[!],BOMBERMAN ONLINE,MK-51065,V1.004,20011004,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,2FC5,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Border Down v1.000 (2003)(G.rev)(JP)(en)[!],BORDER DOWN,T46703M,V1.000,20030813,Japan/Asia,SEGA LC-T-467,SEGA SEGAKATANA,SEGA ENTERPRISES,02EE,GD-ROM1/1,J,0199A10,1ST_READ.BIN
