Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A),Clown Loach,T-24005G,V2.000,19961115,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A),False Rummy Nose,T-24006G,V2.000,19961115,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan),PULIRULA,T-26106G,V1.003,19970527,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-261
Arcade Gears Vol. 2 - Gun Frontier (Japan),GUNFRONTIER,T-26109G,V1.001,19970804,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-261
Arcade Gears Vol. 3 - Wonder 3 (Japan),WONDER3,T-26107G,V1.002,19980123,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-261
Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan),IMAGE FIGHT X-MULTIPLY,T-26110G,V1.010,19980617,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-261
Arcade's Greatest Hits (USA),WILLIAMS ARCADES GREATEST HITS,T-9703H,V1.000,19961118,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-97
Arcade's Greatest Hits - The Atari Collection 1 (Europe),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-25413H,V1.000,19971212,CD-1/1,E,JAM,SEGA SEGASATURN,SEGA TP T-254
Arcade's Greatest Hits - The Atari Collection 1 (USA),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-9706H,V1.000,19970411,CD-1/1,U,JAM,SEGA SEGASATURN,SEGA TP T-97
Arcana Strikes (Japan),ARCANE STRIKES,T-10311G,V1.001,19971017,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-103
"Area 51 (Europe) (En,Fr,De,Es)",AREA 51,T-25408H,V1.000,19961231,CD-1/1,E,JG,SEGA SEGASATURN,SEGA TP T-254
Area 51 (Japan),AREA 51,T-18613G,V1.000,19961204,CD-1/1,JT,JG,SEGA SEGASATURN,SEGA TP T-186
Area 51 (USA),AREA 51,T-9705H,V1.000,19961109,CD-1/1,U,JG,SEGA SEGASATURN,SEGA TP T-97
Area 51 (USA) (Beta) (1996-11-08),AREA 51,T-9705H,V1.000,19961024,CD-1/1,U,JG,SEGA SEGASATURN,SEGA TP T-97
Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan),J: ARTHUR TO      ASTUROTO NO     NAZOMAKAIMURA    INCREDIBLE        TOONS,T-1209G,V1.002,19960525,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-12
Assault Rigs (Japan),ASSAULT RIGS,T-18606G,V1.000,19970417,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-186
Assault Suit Leynos 2 (Japan),JUUSOUKIHEI LEYNOS2,T-2501G,V1.003,19970114,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-25
Astal (USA) (1S),ASTAL,MK-81019,V1.003,19950606,CD-1/1,UT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Astal (USA) (2S),ASTAL,MK-81019,V1.003,19950606,CD-1/1,UT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Astal (USA) (3S),ASTAL,MK-81019,V1.003,19950606,CD-1/1,UT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Astra Superstars (Japan),ASTRA SUPERSTARS,T-1521G,V1.001,19980620,CD-1/1,J,AEJSW,SEGA SEGASATURN,SEGA TP T-15
Asuka 120% Limited - Burning Fest. Limited (Japan),Asuka120pct BurningFest. Limited,T-16708G,V1.003,19970904,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-167
Athlete Kings (Europe),ATHLETE KINGS,MK-81115,V1.001,19960719,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)",ATLANTIS CD1,MK-8109150,V1.200,19980203,CD-1/2,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 2)",ATLANTIS CD2,MK-8109150,V1.200,19980203,CD-2/2,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Atlantis - The Lost Tales (France) (Disc 1),ATLANTIS CD1,MK-8109109,V1.200,19980203,CD-1/2,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Atlantis - The Lost Tales (France) (Disc 2),ATLANTIS CD2,MK-8109109,V1.200,19980203,CD-2/2,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1),AYAKASHI-KUNOITI,T-21512G,V1.002,19980302,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-215
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 2),AYAKASHI-KUNOITI,T-21512G,V1.002,19980302,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-215
Ayrton Senna Personal Talk - Message for the Future (Japan),Ayrton Senna Personal Talk -Message For The Future-,GS-9020,V1.000,19950320,CD-1/1,JTU,J,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Demo),J:AZEL PANZER DRAGOON RPG/U:PANZER DRAGOON SAGA,6106749,V0.191,19970826,CD-1/1,J,AEJ,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-1/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-1/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-2/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-3/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-3/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
"Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)",J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,19971201,CD-4/4,JT,AEFJK,SEGA SEGASATURN,SEGA ENTERPRISES
BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,19980812,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-199
BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,19980812,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-199
BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,19980611,CD-1/2,J,J,SEGA SEGASATURN,SEGA TP T-199
BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,19980611,CD-2/2,J,J,SEGA SEGASATURN,SEGA TP T-199
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan),BAKUBAKU ANIMAL,GS-9040,V1.000,19951110,CD-1/1,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
